,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
111,47575,0.63,3,3,3,61.5,57.0,5.54,5.51,3.4,3
112,43316,0.3,2,3,1,63.3,57.0,4.28,4.25,2.7,0
113,37951,0.41,3,0,3,62.4,60.0,4.71,4.75,2.95,1
114,16370,1.01,3,2,3,59.3,62.0,6.48,6.44,3.83,5
115,53641,0.7,3,2,2,61.3,57.0,5.75,5.71,3.51,3
116,27049,2.0,3,3,1,60.4,61.0,8.21,8.12,4.93,6
117,35773,0.3,3,0,3,60.6,59.0,4.36,4.28,2.62,1
118,34689,0.31,3,1,3,61.4,54.0,4.4,4.33,2.68,1
119,41754,0.47,1,2,4,59.0,60.2,5.04,5.09,2.99,2
120,38886,0.4,3,5,7,62.2,56.0,4.75,4.71,2.94,2
121,40685,0.5,2,1,1,62.4,57.0,5.03,5.07,3.15,2
122,50041,0.74,0,4,4,66.3,63.0,5.63,5.5,3.69,3
123,46106,0.56,1,1,3,61.4,62.0,5.34,5.28,3.26,2
124,42300,0.32,3,2,6,60.7,58.0,4.43,4.4,2.68,2
125,41113,0.41,3,2,5,60.4,58.0,4.84,4.8,2.91,2
126,45952,0.53,3,1,3,60.0,57.0,5.24,5.3,3.16,2
127,47677,0.51,3,0,3,61.9,55.0,5.13,5.11,3.17,3
128,23449,1.28,3,3,7,62.0,55.6,6.94,6.96,4.31,6
129,31168,0.3,2,1,4,61.7,56.0,4.3,4.33,2.66,1
130,9206,1.27,1,6,1,66.0,59.0,6.71,6.75,4.44,4
131,3418,0.31,3,5,2,62.7,56.0,4.3,4.34,2.71,0
132,20393,1.01,1,1,5,63.3,58.0,6.31,6.39,4.02,6
133,25333,1.58,3,4,4,60.4,57.0,7.55,7.65,4.59,6
134,52342,0.23,3,2,4,61.1,56.0,3.97,3.99,2.43,0
135,16977,1.47,2,6,3,62.5,59.0,7.18,7.23,4.5,5
136,16829,1.04,3,2,3,62.1,57.0,6.48,6.53,4.04,5
137,8054,1.19,2,6,1,63.4,56.8,6.7,6.79,4.27,4
138,42630,0.5,2,1,2,60.9,58.0,5.1,5.14,3.12,2
139,34842,0.31,3,0,4,62.0,54.0,4.36,4.35,2.7,1
140,47753,0.51,1,3,5,57.6,56.0,5.27,5.35,3.06,3
141,47497,0.53,3,0,3,61.5,56.0,5.17,5.23,3.2,2
142,53072,0.71,2,3,2,62.8,55.0,5.68,5.73,3.58,3
143,30378,0.5,0,3,0,64.9,57.0,5.01,4.97,3.24,1
144,8667,1.03,2,2,1,62.2,56.0,6.51,6.48,4.04,4
145,44163,0.5,3,1,3,62.6,58.0,5.07,5.12,3.19,2
146,30721,0.4,2,2,2,62.2,57.0,4.67,4.72,2.92,1
147,42137,0.44,3,1,5,60.9,57.0,4.9,4.95,3.0,2
148,22782,1.3,3,3,5,60.2,58.0,7.17,7.08,4.29,6
149,25818,2.06,0,6,4,64.6,58.0,7.91,8.04,5.15,6
150,46420,0.54,3,0,3,60.9,56.0,5.3,5.27,3.22,2
151,16619,1.1,3,2,2,61.6,54.0,6.66,6.69,4.11,5
152,38703,0.33,3,3,6,62.3,55.0,4.44,4.42,2.76,1
153,43992,0.31,2,2,2,60.7,58.0,4.35,4.38,2.65,0
154,21313,1.77,3,6,3,59.6,58.0,7.94,7.86,4.71,6
155,16873,1.3,3,5,3,61.7,56.0,7.07,7.02,4.35,5
156,36407,0.4,3,1,4,61.2,55.0,4.76,4.79,2.92,1
157,16966,1.01,3,3,4,60.9,58.0,6.43,6.47,3.93,5
158,35866,0.4,2,0,3,64.4,52.0,4.63,4.68,3.0,1
159,41255,0.7,3,3,0,62.3,56.0,5.66,5.61,3.51,2
160,40356,0.5,3,2,1,59.9,60.0,5.22,5.16,3.11,2
161,10911,1.28,1,6,2,63.4,59.0,6.84,6.89,4.35,5
162,19311,1.34,3,4,3,60.8,55.0,7.18,7.12,4.35,6
163,7698,1.01,3,3,1,60.1,60.0,6.48,6.44,3.88,4
164,43979,0.32,3,4,4,61.8,53.0,4.41,4.43,2.73,0
165,15210,1.01,3,2,3,59.9,61.0,6.5,6.46,3.88,5
166,13252,1.0,3,1,2,61.9,56.0,6.37,6.45,3.97,5
167,47782,0.54,3,0,3,61.1,56.0,5.25,5.29,3.22,3
168,31337,0.32,3,0,3,61.9,57.0,4.37,4.39,2.71,1
169,45242,0.51,2,3,4,62.7,56.0,5.08,5.13,3.2,2
170,13830,1.01,2,0,2,63.3,57.0,6.33,6.37,4.02,5
171,23430,0.4,3,6,4,62.6,55.0,4.71,4.75,2.96,0
172,5243,1.04,3,3,2,60.3,58.0,6.6,6.55,3.96,4
173,10087,0.31,2,5,2,62.3,58.0,4.35,4.38,2.72,0
174,41412,0.51,1,2,2,63.6,56.0,5.08,5.11,3.24,2
175,15040,1.0,3,1,3,62.0,55.0,6.42,6.38,3.97,5
176,30733,0.4,3,1,2,62.7,57.0,4.69,4.72,2.95,1
177,32115,0.33,3,0,3,62.1,54.0,4.43,4.46,2.76,1
178,40429,0.53,3,3,1,59.9,57.0,5.25,5.3,3.16,2
179,3338,0.9,2,2,1,63.0,56.0,6.09,6.16,3.86,4
180,46266,0.5,3,0,3,62.5,54.0,5.05,5.09,3.17,2
181,8298,0.9,2,2,2,61.4,58.0,6.18,6.23,3.81,4
182,29813,0.3,3,5,6,62.3,55.0,4.29,4.28,2.67,0
183,10305,1.01,3,0,2,62.8,58.0,6.37,6.3,3.98,4
184,30041,0.43,3,4,2,62.3,56.0,4.83,4.86,3.02,0
185,20658,1.23,3,3,4,61.3,58.0,6.89,6.87,4.22,6
186,5248,0.9,3,0,1,59.8,61.0,6.21,6.17,3.7,4
187,46272,0.58,3,1,3,62.0,57.0,5.33,5.35,3.31,2
188,26222,1.51,3,3,5,62.1,58.0,7.34,7.31,4.54,6
189,5849,0.91,3,1,2,61.5,60.0,6.19,6.24,3.82,4
190,35416,0.41,3,3,4,61.5,56.0,4.77,4.79,2.94,1
191,12572,1.02,3,0,2,62.3,56.0,6.49,6.45,4.03,5
192,15874,1.01,3,1,3,62.9,58.0,6.47,6.37,4.04,5
193,31968,0.3,3,2,3,62.0,54.0,4.34,4.31,2.68,1
194,27438,2.08,3,6,7,61.0,55.0,8.32,8.25,5.05,6
195,24913,1.51,3,3,4,61.1,58.0,7.38,7.36,4.5,6
196,47643,0.51,3,4,7,62.0,54.0,5.14,5.18,3.2,3
197,34725,0.3,3,2,7,61.8,55.0,4.31,4.33,2.67,1
198,16008,1.13,3,2,2,59.6,57.0,6.83,6.79,4.06,5
199,13717,1.02,2,0,2,63.5,61.0,6.35,6.27,4.01,5
200,21464,1.5,3,5,4,62.8,57.0,7.24,7.28,4.56,6
201,24948,2.0,3,2,1,61.6,57.0,8.16,8.1,5.01,6
202,25277,2.01,1,4,1,63.1,55.0,7.99,8.09,5.07,6
203,11714,1.02,2,2,2,63.1,55.0,6.45,6.38,4.05,5
204,44128,0.57,3,4,4,61.7,54.0,5.33,5.36,3.3,2
205,5571,0.92,3,2,1,61.8,58.0,6.19,6.23,3.84,4
206,50031,0.58,3,1,4,62.9,54.0,5.34,5.31,3.35,3
207,44065,0.51,3,1,2,62.7,55.0,5.1,5.07,3.19,2
208,21090,0.31,2,3,4,62.4,59.0,4.32,4.34,2.7,0
209,45233,0.51,3,1,3,60.9,56.0,5.15,5.2,3.15,2
210,2828,0.91,2,6,3,61.0,58.0,6.22,6.3,3.82,4
211,6564,0.9,2,0,2,61.8,61.0,6.16,6.2,3.82,4
212,45582,0.51,3,0,2,60.1,60.0,5.17,5.15,3.1,2
213,7719,1.03,3,4,2,62.4,58.0,6.5,6.42,4.03,4
214,42072,0.53,1,2,2,63.8,58.0,5.12,5.17,3.28,2
215,48898,0.7,1,5,2,64.3,57.0,5.59,5.63,3.61,3
216,7488,1.14,3,3,1,62.8,58.0,6.68,6.64,4.18,4
217,29755,0.31,3,3,5,62.4,56.0,4.33,4.36,2.71,0
218,45358,0.32,3,3,3,62.0,57.0,4.37,4.41,2.72,0
219,48610,0.59,2,1,4,61.6,61.0,5.34,5.37,3.3,3
220,18199,1.2,3,1,2,60.3,57.0,6.98,6.84,4.17,5
221,34900,0.3,3,3,5,62.0,60.0,4.33,4.25,2.66,1
222,17949,1.01,1,1,4,63.4,58.0,6.36,6.38,4.04,5
223,51260,0.71,0,1,2,64.7,59.0,5.61,5.58,3.62,3
224,46349,0.3,3,5,5,61.8,58.0,4.28,4.33,2.66,0
225,44398,0.7,2,5,1,62.5,58.0,5.64,5.72,3.55,2
226,4157,0.9,2,3,1,62.4,55.0,6.13,6.17,3.84,4
227,22784,1.78,3,1,1,60.5,59.0,7.89,7.8,4.75,6
228,45182,0.5,3,2,3,61.1,60.0,5.12,5.1,3.12,2
229,16413,0.28,3,0,6,61.7,57.0,4.2,4.23,2.6,0
230,29258,0.34,3,5,7,61.3,55.0,4.52,4.55,2.78,0
231,29326,0.31,3,3,1,62.2,54.0,4.36,4.39,2.72,0
232,26378,0.32,3,4,5,61.7,56.0,4.37,4.42,2.71,0
233,18872,1.03,3,0,3,62.9,59.0,6.43,6.38,4.03,5
234,23331,1.5,3,4,3,60.0,62.0,7.41,7.38,4.44,6
235,21880,1.0,3,2,6,61.0,60.0,6.43,6.39,3.91,6
236,36753,0.41,3,1,1,61.7,58.0,4.8,4.76,2.95,1
237,10621,1.01,2,4,3,62.5,57.0,6.37,6.44,4.0,4
238,5547,0.9,0,0,1,64.6,59.0,6.04,6.01,3.89,4
239,39250,0.4,2,1,5,62.8,58.0,4.68,4.71,2.95,2
240,40167,0.41,3,2,5,60.6,58.0,4.79,4.84,2.92,2
241,44786,0.52,3,5,6,62.0,55.0,5.19,5.17,3.21,2
242,47136,0.57,2,1,3,59.5,56.0,5.45,5.47,3.25,2
243,51172,0.71,3,1,1,60.5,59.0,5.78,5.75,3.49,3
244,1949,0.71,3,4,3,61.8,55.0,5.73,5.75,3.55,3
245,19910,1.52,3,6,4,62.2,59.0,7.32,7.38,4.57,6
246,31351,0.32,3,0,3,62.1,54.0,4.4,4.46,2.75,1
247,16598,1.04,3,3,3,61.6,55.0,6.51,6.55,4.02,5
248,5447,1.0,1,4,3,63.9,57.0,6.32,6.26,4.02,4
249,8028,1.16,3,5,1,62.1,58.0,6.78,6.71,4.19,4
250,8548,1.03,0,3,2,64.7,63.0,6.36,6.31,4.1,4
251,47819,0.76,3,6,2,62.9,54.0,5.82,5.85,3.67,3
252,25337,1.5,2,1,3,61.0,55.0,7.38,7.45,4.52,6
253,27301,2.01,3,4,2,62.7,59.0,8.03,8.08,5.05,6
254,11402,1.1,2,3,2,59.4,58.0,6.72,6.79,4.01,5
255,449,0.34,3,5,4,62.0,56.0,4.5,4.53,2.8,0
256,34317,0.31,3,6,5,62.0,56.1,4.31,4.33,2.68,0
257,20153,1.51,2,2,1,62.7,60.0,7.25,7.32,4.57,6
258,19368,1.25,3,4,5,60.6,57.0,7.0,6.97,4.23,6
259,44850,0.5,3,1,3,62.2,55.0,5.07,5.09,3.16,2
260,3403,0.25,2,3,3,61.9,57.0,4.05,4.08,2.51,0
261,24386,2.02,1,2,1,57.1,60.0,8.31,8.25,4.73,6
262,52045,0.6,3,0,3,62.0,55.0,5.39,5.42,3.35,3
263,38959,0.33,3,3,7,61.9,54.0,4.46,4.42,2.75,2
264,23789,1.77,2,3,2,63.1,57.0,7.68,7.63,4.83,6
265,33682,0.38,2,3,4,61.9,56.0,4.63,4.68,2.88,1
266,26481,2.0,2,4,2,63.2,58.0,7.95,7.93,5.02,6
267,10382,1.01,3,4,3,62.4,58.0,6.42,6.36,3.99,4
268,29492,0.4,3,5,1,60.5,58.0,4.82,4.76,2.9,0
269,33421,0.41,3,3,3,62.2,57.0,4.71,4.74,2.94,1
270,43498,0.55,2,1,2,64.2,55.0,5.18,5.2,3.33,2
271,28561,0.41,3,6,4,62.2,54.5,4.75,4.76,2.96,0
272,28034,0.3,2,1,3,61.9,61.0,4.28,4.32,2.66,0
273,3597,0.72,3,4,5,61.8,55.0,5.75,5.77,3.56,4
274,48560,0.54,3,3,5,61.0,56.0,5.25,5.3,3.22,3
275,36286,0.41,3,1,3,62.5,55.0,4.74,4.77,2.97,1
276,31045,0.35,3,2,2,62.4,55.0,4.55,4.52,2.83,1
277,43955,0.31,3,5,4,61.4,55.2,4.32,4.35,2.66,0
278,26922,2.09,2,2,1,62.7,61.0,8.07,8.14,5.08,6
279,612,0.7,3,2,2,60.7,57.0,5.73,5.75,3.49,3
280,16866,1.22,1,5,4,59.2,61.0,7.01,6.95,4.13,5
281,51286,0.7,1,4,5,64.3,60.0,5.59,5.55,3.58,3
282,20705,1.33,2,3,3,61.7,59.0,7.04,7.09,4.36,6
283,18067,1.02,1,3,5,62.3,60.0,6.38,6.49,4.01,5
284,3561,0.71,2,0,4,63.2,57.0,5.63,5.67,3.57,4
285,12313,1.26,1,6,3,63.2,57.3,6.81,6.86,4.32,5
286,42627,0.54,3,2,2,61.8,60.0,5.22,5.2,3.22,2
287,27917,0.4,3,5,2,62.2,55.0,4.72,4.77,2.95,0
288,15731,0.36,3,5,6,61.6,56.0,4.58,4.61,2.83,0
289,59,0.23,2,1,3,63.8,55.0,3.85,3.92,2.48,0
290,10107,0.32,3,4,2,62.6,55.0,4.38,4.37,2.74,0
291,5202,0.9,2,4,2,60.8,57.0,6.22,6.25,3.79,4
292,29518,0.32,3,1,3,61.8,55.0,4.4,4.43,2.73,0
293,39413,0.5,3,3,1,62.1,55.0,5.12,5.15,3.19,2
294,31326,0.36,3,2,1,61.2,56.0,4.61,4.64,2.83,0
295,29302,0.31,3,1,2,62.8,57.0,4.34,4.32,2.72,0
296,50820,0.77,3,4,1,60.8,57.0,5.96,5.89,3.6,3
297,5498,1.0,0,3,2,68.2,60.0,6.02,5.94,4.08,4
298,3458,0.9,0,0,2,66.4,59.0,5.97,5.92,3.95,4
299,10956,0.9,3,4,6,62.3,59.0,6.15,6.09,3.81,5
300,39618,0.5,3,6,4,62.5,57.0,5.06,5.09,3.17,2
301,41611,0.52,3,4,3,61.7,54.0,5.18,5.22,3.21,2
302,9400,0.32,3,0,2,61.5,59.0,4.39,4.42,2.71,0
303,926,0.7,3,2,4,59.0,59.0,5.79,5.77,3.41,3
304,15248,1.01,3,3,3,62.7,56.0,6.43,6.39,4.02,5
305,38265,0.4,3,4,6,62.0,54.0,4.72,4.76,2.94,1
306,17420,0.34,3,1,1,62.4,59.0,4.46,4.42,2.77,0
307,31275,0.42,3,0,2,61.9,55.0,4.79,4.84,2.98,1
308,35473,0.32,3,1,3,62.0,55.0,4.41,4.39,2.73,1
309,5291,0.59,3,0,6,62.3,54.0,5.36,5.39,3.35,4
310,36340,0.32,3,4,6,61.5,59.0,4.41,4.37,2.7,1
311,10834,1.24,1,3,1,63.7,60.0,6.77,6.7,4.3,5
312,33341,0.31,2,0,6,61.1,56.0,4.35,4.42,2.68,1
313,40674,0.41,3,1,4,62.3,59.0,4.76,4.74,2.96,2
314,40227,0.38,3,2,6,61.5,56.0,4.68,4.71,2.88,2
315,34377,0.3,3,1,6,62.1,57.0,4.27,4.29,2.66,1
316,19538,1.01,3,2,4,62.1,54.0,6.42,6.44,3.99,6
317,45332,0.51,3,1,3,61.9,57.0,5.12,5.09,3.16,2
318,53476,0.7,3,1,3,60.8,58.0,5.7,5.74,3.48,3
319,37975,0.3,3,4,3,62.5,53.2,4.29,4.34,2.69,0
320,21014,1.53,3,5,3,61.7,57.0,7.36,7.41,4.56,6
321,29205,0.4,2,1,3,63.0,59.0,4.66,4.68,2.94,0
322,1401,1.05,3,1,0,61.4,58.0,6.53,6.46,3.99,3
323,10854,1.05,3,2,1,62.7,54.0,6.5,6.54,4.09,5
324,21180,1.57,3,4,1,60.7,57.0,7.49,7.54,4.56,6
325,4475,1.05,3,6,1,61.6,57.0,6.55,6.51,4.02,4
326,51396,1.01,3,3,0,61.7,62.0,6.41,6.35,3.93,3
327,33967,0.41,1,3,6,63.6,56.0,4.72,4.74,3.01,1
328,13699,1.2,3,4,2,62.4,59.0,6.72,6.68,4.18,5
329,7816,1.02,3,4,1,62.5,54.0,6.44,6.4,4.01,4
330,28848,0.38,3,5,3,62.4,56.0,4.65,4.58,2.88,0
331,53778,0.77,3,1,1,59.8,56.0,6.01,5.96,3.58,3
332,30219,0.34,3,3,5,62.0,55.0,4.47,4.5,2.78,0
333,3765,0.36,3,4,3,62.1,55.0,4.57,4.61,2.85,0
334,20710,1.3,3,4,5,61.5,55.0,7.07,7.03,4.34,6
335,23393,0.3,3,5,2,61.5,57.0,4.3,4.35,2.66,0
336,44943,0.54,3,4,4,61.6,59.0,5.22,5.24,3.22,2
337,7442,0.33,2,3,3,62.6,56.0,4.38,4.41,2.75,0
338,40019,0.41,3,5,6,61.5,59.0,4.81,4.75,2.94,2
339,32213,0.39,1,3,3,63.3,57.0,4.61,4.65,2.93,1
340,18264,1.1,3,3,4,58.4,60.0,6.85,6.81,3.99,5
341,31023,0.37,2,3,4,61.5,58.0,4.57,4.6,2.82,1
342,17697,1.1,3,2,3,61.1,57.0,6.71,6.65,4.08,5
343,31030,0.37,3,3,4,59.5,58.0,4.67,4.71,2.79,1
344,9732,0.32,1,0,2,63.3,57.0,4.36,4.39,2.77,0
345,34500,0.31,3,1,6,61.4,55.0,4.35,4.38,2.68,1
346,22340,1.65,3,4,1,61.6,55.0,7.58,7.62,4.68,6
347,42433,0.53,3,1,2,62.3,60.0,5.27,5.17,3.25,2
348,4268,0.91,2,0,1,58.3,60.0,6.33,6.4,3.71,4
349,30158,0.32,3,3,3,60.7,58.0,4.42,4.38,2.67,0
350,53318,0.3,1,0,2,63.1,55.0,4.28,4.31,2.71,0
351,12046,1.14,2,5,4,63.3,56.0,6.68,6.6,4.2,5
352,14180,1.22,3,3,1,60.5,58.0,6.96,6.92,4.2,5
353,32910,0.38,1,0,3,64.1,55.0,4.58,4.62,2.95,1
354,8931,1.01,1,4,2,57.1,58.0,6.6,6.64,3.78,4
355,34629,0.37,3,6,2,61.4,57.0,4.62,4.66,2.85,0
356,19684,1.52,3,6,4,62.4,59.0,7.36,7.31,4.58,6
357,32729,0.31,3,3,4,62.8,58.0,4.3,4.27,2.69,1
358,49369,0.6,2,3,4,61.9,56.0,5.41,5.45,3.36,3
359,11817,1.23,3,6,1,63.2,58.0,6.82,6.74,4.29,5
360,20186,1.2,3,3,4,62.8,58.0,6.84,6.75,4.27,6
361,20984,1.05,3,1,4,62.1,56.0,6.57,6.48,4.05,6
362,19582,1.54,3,3,2,63.0,59.0,7.31,7.26,4.59,6
363,5070,0.63,3,2,7,60.9,57.0,5.53,5.57,3.38,4
364,25718,0.31,3,2,4,61.5,54.0,4.36,4.39,2.69,0
365,8740,0.38,2,2,1,61.2,57.0,4.67,4.71,2.87,0
366,29195,0.38,3,1,2,61.8,53.8,4.63,4.67,2.88,0
367,21439,1.5,2,3,2,62.2,58.0,7.21,7.28,4.51,6
368,19553,1.5,2,3,1,61.3,63.0,7.28,7.23,4.45,6
369,21861,1.5,2,0,2,63.4,63.0,7.23,7.19,4.57,6
370,34487,0.4,3,3,2,61.7,61.0,4.68,4.63,2.87,1
371,10879,1.16,3,4,1,61.8,58.0,6.81,6.75,4.19,5
372,27340,2.72,3,6,1,62.1,56.0,8.97,8.93,5.56,6
373,44024,0.26,3,3,2,62.0,54.0,4.08,4.11,2.54,0
374,21651,1.22,2,3,5,59.3,58.0,6.97,6.99,4.14,6
375,6794,1.06,3,5,1,61.9,59.0,6.47,6.52,4.02,4
