text,y
"The stencil looks pretty, but it really doesn't produce what is pictured. With all the holes, it produces a very difficult-to-see flower. If you study the stencil a bit, you can see that you really need the opposite of what has been produced. Furthermore, you have to use the entire stencil because there is no way to do the edges to capture where the flower ""ends"" unless you do all the adjacent flowers. This is about 8 1/2 X 11 stencil and just too big to do smaller work. Trying to single out a particular flower is impossible since there is no produced ""border.""",1
"My biggest gripe - I failed (my bad!) to read the full product description, instead relying on the short description printed next to the item, and did not realize the calendar commenced in August of 2014. I would not have purchased it if I had known this. I had assumed I would ""lose"" January-June, and still have 11 months remaining...instead I will only get 9 months of use out of the thing  - and for the price I paid that does not seem at all fair.

Additionally, if I had read the reviews - which I normally do, but in this case I thought ""how bad can it be? It's paper with dates and boxes on it, right?"" I would have noted that it is indeed an anti-American piece of....work. As the daughter of a recently deceased veteran I am insulted by the absence of a Memorial Day sticker. Cinco De Mayo is here, all right, along with Labor Day and Earth Day, Grandparent's Day and Ramadan - not to mention TWO each of Thanksgiving, Halloween, Columbus Day, Christmas, New Years Eve, Kwanzaa and ""Hannukah begins"" (because Hannukah starts twice?). But no Memorial Day? Really?? Not acceptable.

Returning is very tempting, but unfortunately I bought it because our schedule has gone completely nuts and I just plain don't have time to sit and wait for another one. So I will keep it, use it, be grumpy at it, and NEVER order products made by Orange Circle Studio again!

Edited to add: I just scanned through the stickers and there are NO stickers related to any of the holidays honoring our veterans or our nation. No Veterans Day, Memorial Day, Flag Day....nada. Now the stinking thing is going back.",1
"Just bought this.  If I hadn't already written on it, I would take it back.  This product is a huge slap in the face of every veteran and every true American.  There is a ""Cinco de Mayo"" sticker, but no ""Veteran's Day"" sticker.  There are no stickers for other holidays in other countries.  Cinco de Mayo is a holiday of great significance, in Mexico; it is merely a partying day in the U.S.A.  Shame, shame, shame on Orange Circle.  On the usefulness side, only 10 months will stuff under that plastic holder; you'll never get 15 pages under it unless you chop the older pages out.",1
won't print,1
Too small and pricey,1
"I'm not sure if I purchased the wrong one or what but these were missing some books (I wanted the Catholic version).  Also, I received two of the same sheet of labels and was missing one sheet.  Unfortunately I didn't realize until halfway through installation.
If these had worked and been a complete set, I would be thrilled as the quality and ease of installation was great.
I did not try to reach the seller.  I ended up going to the book store and paid a little more for another set.",1
OMG I laughed when I opened this up.. for the price I was so disappointed .... this is super small,1
Cheap material. The pockets are  cut and sewn in a way that it is a struggle to get files in. Cheap stitches and poor construction all around. Very disappointing. Save your money!,1
"I would rate it 0 stars if not for the fact it does have slightly thicker paper and that it has a somewhat solid feeling cover.

Everyone keeps recommending these things, so I thought might give it a shot. I normally use handbooks (much better at taking inks), or cheap assed MUJI books (cheap as s***, flimsy pages, BUT STILL takes inks better than this piece of s***). Since everyone keeps raving about moleskines, I thought I'd get this one since it supposedly takes wet media better. Big mistake. It can't even take dry media much the less wet media...

I've let just text sit on a page for nearly 5 minutes and it still doesn't get absorbed, causing smears all over whenever. There is a reason why it's called a ""sketchbook"", to be able to quickly sketch out ideas and words without waiting forever for the damn ink to dry....

I normally draw with a combination of rapidographs, microns, MUJI gel pens, and pentel pocket brush pens. With the exception of the brush pen, everything else takes almost instantaneously.

With this piece of s***? It's actually been hours since I put ink on the page and when I touch it, it STILL smears... This is NOT a problem with the ink or the pens, because I have used these on multiple other sketchbooks...

Seriously what the hell moleskine, if you're gonna charge a premium on your books, at least make them not be useless piece of trash...",1
"I've always equated Moleskin to top drawer quality, but having received this notebook, I am absolutely shocked and appalled. Cheap cover material and paper weight so thin, ink writing likely would bleed or show through. Completely disillusioned. Returning post haste.",1
"My last three Moleskines all had manufacturing quality issues. My new one, less than a day in use, just came apart at the binding. On my previous one, the ribbon came out about half way through, and the quality of the outer material was noticeably lower than on previous books. I'm getting the distinct impression that with the rise in popularity the quality is taking a nose-dive, and that what I'm getting now when ordering a Moleskine is no longer worth the price. Based on my recent experience, I was already weary before placing this order, and I'm pretty disappointed by what's happened to what used to be an exceptional item. Time to look elsewhere for high-quality notebooks.",1
"Ordered two for a project--one was great, the other's pages were creased crookedly making it unacceptable.  Unfortunately I didn't open the shrink-wrap and inspect these quickly enough to use Amazon's guarantee.  Spent an hour online, took photos--everything, but the maker's website customer service was impossible to navigate.  Never heard from them, don't think the complaint got through.",1
"The only good thing is the cover, and the paper make me feel nothing right.",1
"I purchased this moleskine journal at Barnes and Noble but unfortunately I can't take it back. Every pen I have bleeds through! I even users like 5 different brands and types of ink. ALL bled through. The paper is practically transparent. If you look at my photos, one of them you can see a 2016 written. That's on the next page, not even on the back side. I could not write on the back pages and I would still see through the pages. I'm severely upset that I paid $20 for a journal that has paper worse that a $1 comp book at Walgreens. Whoever is in charge of Moleskines quality control needs to go. Quality is getting horrible.",1
"This notebook is actually a pale purple, not a vibrant color like the one shown. So bummed. I love moleskines (I use them exclusively) but I am super disappointed that the color is so off",1
"These were my favorite notebooks to sketch and write in.. But the quality of these are not the same anymore. The paper are extra thin in comparison to my older moleskine I've had for over 10 years ago. I seriously see-thru. I used a 9h derwent graphite pencil to light sketch and it left a indentation on the other side of the page. I used a micron pen to do some line drawings and it bled through the page instantly. WHAT HAPPENED TO YOU MOLESKINE?? I was so excited to get this, but it's almost unusable - i can only draw on the cover. From some research, it looked like the company outsource it's manufacturing from Italy to Vietnam, but kept the prices at premium for these books. The quality dropped but price didn't. This generation of notebooks are probably rated as printer paper.",1
Didn't realize until later but it came opened.,1
"Despite saying that it allows for a light watercolor wash the paper still buckled when I tested the claim. I will probably use it with ink and pencil but I'd recommend using watercolor minimally or not at all. Not what I expected unfortunately.

Continued to try it for different things other than watercolor, and found it lacking. The size is good for brief sketches in pen or pencil. Do not use watercolor, it won't work very well, copic markers bled through the pages. So overall it was a big meh.",1
"I love moleskine notebooks, BUT NOT THIS ONE! dunno why, but the paper was very thin and floppy. markers bled through 3 pages! the colors looked dull and dusty. I gave up on it, which is something I don't do often, but it was useless.:(",1
"Not impressed with the quality. Which I thought was supposed to be guaranteed. I cannot return , so I lost the money.",1
Very Disappointed. Ruled lines are very faint and hard to see. Must have run out of ink. Not very many pages either. Wont order these again.,1
Came as expected - Just what we ordered!,1
It seems that Moleskine quality is hit and miss these days. I ordered 2 of these notebooks and unfortunately they were both duds. The paper quality is REALLY BAD. It's rough and thin and cheap. Moleskine paper is supposed to be a bit thicker and smooth and silky. It seems the only reliable Moleskine products are there planners. The paper in those always seems to be excellent. (See my review of the softcover ruled pocket size for more details of my bad experiences.) I've given both of these large notebooks to my husband to use since he could care less about what kind of paper he writes on. I'll never buy a regular Moleskine notebook ever again.,1
"These little note books are very handy, I would like to see better quality paper, I often have it tear from just writing with a ball point pen.  I do like the size and does have plenty of pages for all I need.  Darrell",1
"I tried this notebook and was very disappointed.  The paper is really thin, and buckles quite easily.  To use it effectively with watercolor paints, you have to make sure that you don't use too much water, otherwise, there will be so many buckles in the paper that keeping the notebook flat with the elastic, will not help very much.  That sort of defeats the purpose of using a Moleskine.

I use Moleskines for drawing with pencil and Sakura ink pens.  They do not stress the paper and the artwork looks really good.  If I want to use color, I use colored pencils or oil pastels, nothing wet.  If I am using watercolor, I carry the Strathmore watercolor notebooks, (Visual Journals), that come in 90 lb or 140 lb weights, - ""real"" watercolor paper, that delivers results without the buckling.

As happy as I was to see Moleskine watercolor notebooks, after trying them, I went back to the Strathmore books, and will remain with them unless and until Moleskine decides to put ""real"" watercolor paper into their otherwise fabulous books.",1
"I don't know if I got a ""lemon"" of a pen or what but this brand new ""Bible Study Pen"" that I purchased at Family Christian is not worth a dime.

EVERY color is not writing smoothly. I have to go over the same spot over and over and over just to get one simple little line. It really makes studying my bible and doing my devotionals frustrating instead of fruitful. :(",1
the markers DO bleed through the pages of the bible.  Would not recommend these - get the crayon type instead,1
"They're too light to be used for highlighting.  Don't buy them, you'll be unhappy. I acn't imagine why I have to write six more words.  I hope this is enough",1
"I ordered one of these and it shipped very quickly.  Unfortunately it was completely damaged due to the terrible cover material they use on this expensive planner.  Don't waste your time or money, this is a cheap planner which won't last the year due to the thin cardboard mateterial they use on the cover.  There are no tabs, just paper in the center.  Very dissapointed in this after all the great reviews.",1
"I ordered one of these and it shipped very quickly.  Unfortunately it was completely damaged due to the terrible cover material they use on this expensive planner.  Don't waste your time or money, this is a cheap planner which won't last the year due to the thin cardboard mateterial they use on the cover.  There are no tabs, just paper in the center.  Very dissapointed in this after all the great reviews.",1
I thought it was bigger. Boxes too small to write in. Would not recommend buying this,1
Disappointed to receive one with a misaligned binding.,1
"Poorly designed and all togeather impractical, basically a waste of $20. The days of the week are so narrow that you can't even write a single word. It has the days plotted out by hour, which is impractical when you need to jot down a list of things that need to be accomplished. As a student Saturday and sunday are extreamly usefull days of the week, but the planner just gives them tiny sections. I threw mine away after I bought a $5 one from my college bookstore, hopefully it can be recycled and provide some use as paper towels.",1
The stickers rip on every one which make them unusable.  Terrible item.,1
Hated them. They were so cheap looking and difficult to put on so i didn't. I would never have bought them if picture had not been misleading. Not worth putting on my Bible. Don't buy them get ones that are not so flimsy.,1
Disappointed to receive one with a misaligned binding.,1
"Poorly designed and all togeather impractical, basically a waste of $20. The days of the week are so narrow that you can't even write a single word. It has the days plotted out by hour, which is impractical when you need to jot down a list of things that need to be accomplished. As a student Saturday and sunday are extreamly usefull days of the week, but the planner just gives them tiny sections. I threw mine away after I bought a $5 one from my college bookstore, hopefully it can be recycled and provide some use as paper towels.",1
"I bought this product because I needed a pen in that category and because of the comments were good, but the ink was a deception.

I used only approximately 2 weeks and already the ink ran out , it's means the ink comes almost empty, because it's not possible that a new pen, which is given a moderate use, the ink ran out so fast.

I understand that marketers should do this warning about the length of the ink because nobody wants to buy a pen that in 2 weeks it will eventually run out of ink, unless they don't want to give that information on purpose to force a new purchase ink or that it is a mistake.",1
"Just received my pen today. Feels cheap compared to one I got from my father years ago, and from one I got on Ebay. This one Feels total different the metal is less in thickness and the screw on portion feels like it will strip its self in a matter of months. Not smooth and well machined like my old one or the Townsend I bought. I won't be buying one again will get them on EBay and make sure of where they are manufactured.  I am told that they will all say China or Japan,
Sad they were like many things made in the usa A great product being turned to Sh#t for a buck.  I feel the customer who buys or who bought Cross would have paid the extra for made in USA",1
"I sold one thing and sent me something damaged and very different, me no good at all, the pen is damaged and the pen has several undidas parts and there is an engraving of a name that does not understand and it is assumed that I sold me as again.
It is a mess, one nonsense that cheated me
dolver not worth anything to buy.",1
"I used to love getting Cross pens when I was a kid.  I still have them too, the chrome ones, but lost my only gold one.  So I wanted to replace that one after all these years.  I was a bit hesitant after reading these reviews, but thought i'd gamble and hope that after a few years of getting their QC in check, the quality would return.  No such luck. This thing is like a fake Rolex.  All the points the other reviewers warn you about are absolutely correct.  I compared it side by side with my vintage chrome ones.  The cap does not fit right, the overall feel and weight is poorer, the clip feels thinner and weaker, the turning mechanism seems flimsier.  It's sad to see Cross stoop this low.  This is the reason ""Made in China"" has the stigma it has.  I'm going to have to switch to the Fisher Space Pens, made right here in the USA.  Do me a personal favor, and take the pen!!",1
"The pencil didn't work, and my husband decided he wanted me to return the set.  Since this was a present, I was late returning the set and got only a partial refund.  My fault for not thinking ahead about the return policy, but a big disappointment.  It made a special time a big let down.",1
"I own a couple usa made 1964 Cross pen and pencil sets which are the vintage version of this new set. This new set is NOT usa made like the old ones. Its chinese made, light and flimsy, and does not have the rose gold look. It looks more like 10kt gold filled. The inner barrel edges are not smooth, the two pieces of the pen don't sit evenly and required some sanding to fit right. The two pieces of the pen require careful manipulation to sit right. On the vintahe sets, the two parts always sit right together. I was disappointed when I sent in a broken vintage 14kt gold filled set to Cross for repair and they sent me this new set since they could not repair my vintage set due to lack of parts. I was disappointed. I sold this new so called ""new and updated"" set on ebay for 50 bucks which is 100 bucks less than the price of new. Thats how much i hated it. The person who bought it was estatic to get it for cheap, but hey, im sticking with my usa made vintage sets. Cross is not what they used to be, but i guess it just makes the vintage ones more sought after. Dont waste 150 bucks on this set. Go on ebay and get a used usa made vintage 14kt gold filled pen and pencil set for 60 bucks. You cant go wrong with the vintage ones.",1
"I have quite an extensive collection of Vintage Cross pens from the 1950's and 1960's.
I had a pen and pencil set of this Cross Century from 1976 that started slipping after many years of use.
So, I sent it in to Cross get repaired. Turns out they didn't have the parts so they replaced my pair with this new Chinese set.
I was HORRIFIED. It was so light and cheap, the two parts of the pen and pencil don't sit well together, the engraved ""grip"" mark is gone, its slipperly to the touch, and worse of all, NOT USA MADE. They're not the high quality pens they used to be.

I'm hanging on dearly to my 20+ vintage cross pens more than ever.
Do yourself a favor if you plan on buying this new chinese cross set.
Go to ebay and get a vintage usa made Cross set for 15 bucks. You'll love the high quality vintage usa made Cross sets.",1
"This pen is chinese crap thats slippery. Not what they used to be. I have a cross 3501 from 1967 and 1970 and the old ones are solid and heavy and usa made. I sent in a 1980 cross 3501 that broke and they sent me this as a replacememt and i am disappointed. Its slippery becsuse it lacks a grip engraving, the two pieces don't aline correctly and doesnt write as smooth. Go buy a vintage cross 3501 on ebay. I bought several used vintage ones on ebay because the older ones are high quality and a pleasure to write with.",1
"I ordered this pen by mistake .. I really meant to order the rolling pen, but bought this without trying it, and I HATE IT!  It's truly the worst pen i've ever owned.  I've tried the fine refill, the medium and now the broad, and they're all bad as far as I'm concerned.
Funny thing is, is that I consider myself a 'pen snob' and this was a big mistake.
I ordered a Parker not long afterwards and that is a far superior pen, but I'm stuck with this Cross pen that I'm TRYING to like, just because of the money wasted.
I don't know where I've gone wrong other than getting the ball point instead of the roller ball.
Please, stay away from the ball points.  You can buy cheap stick pens that perform better.
Can I give it zero stars?",1
"This model has Cross' ""satin chrome"", not the normal bright polished chrome.  You can look at it hanging on the wall of any major office supply store instead of ordering it blindly online.

""Satin"" is a nice excuse for what might otherwise be called frosted or sand-blasted.  It's that cheap-looking finish often used in low-priced products to avoid having to brush or polish the metal carefully, and when you see it in front of you, it looks like junk.

The Classic Century model (in all forms), sadly, is now a little rougher to operate than the old one my Grandfather had.  It's OK, but the two halves of the pen don't fit together solidly, and wiggle too much.  The polished model looks nicer with its brighter finish and neat grooves, but also costs twice as much.  This bottom-rung model doesn't even look nice, which is normally a major quality for expensive Cross products.

The Classic Century uses a standard ballpoint cartridge (not a smooth roller or gel), so writing with it isn't especially great either.

Being a cheaply-made Chinese product, this ugly ballpoint probably shouldn't cost any more than a couple dollars.  Thanks to this new entry in their lineup, we can see what fraction of Cross' income they expect to get just for their name.",1
"I should have listened to the other reviews. This calendar is cheap junk. It is made of card stock just glued together with a thin magnetic layer inside. Mine arrived with the entire left side separated, which meant that no magnets would stick at all to the left side of the calendar. After gluing it closed, there was still a section in which magnets would not stick and would slide to the bottom. It's just pure garbage. I returned it and bought a pocket calendar by patch products which will last for years!",1
