,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
34,7596,4,0,11,2,0,5,1,1,0.24,0.2273,0.44,0.2239,2,8,0
35,12162,2,1,5,22,0,6,0,1,0.7,0.6667,0.74,0.2537,86,118,3
36,15103,4,1,9,11,0,3,1,1,0.64,0.6212,0.61,0.2537,46,181,3
37,14473,3,1,8,5,0,5,1,1,0.64,0.5758,0.89,0.1642,2,27,1
38,10634,2,1,3,4,0,6,0,1,0.52,0.5,0.83,0.0896,1,6,0
39,1046,1,0,2,7,0,3,1,2,0.2,0.197,0.55,0.2239,5,103,2
40,16677,4,1,12,15,0,0,0,1,0.44,0.4394,0.67,0.1343,106,311,4
41,768,1,0,2,10,0,5,1,2,0.2,0.2121,0.51,0.1343,5,46,1
42,10932,2,1,4,15,0,4,1,1,0.5,0.4848,0.31,0.1045,98,171,3
43,6598,4,0,10,11,0,5,1,1,0.56,0.5303,0.63,0,80,150,3
44,3144,2,0,5,21,0,0,0,1,0.54,0.5152,0.88,0,44,107,2
45,4496,3,0,7,5,0,1,1,1,0.66,0.6212,0.74,0.1343,5,21,0
46,145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,1
47,14407,3,1,8,11,0,2,1,1,0.78,0.7273,0.55,0.2537,47,171,3
48,3170,2,0,5,23,0,1,1,1,0.56,0.5303,0.88,0.0896,18,39,1
49,3158,2,0,5,11,0,1,1,1,0.64,0.6212,0.57,0,56,129,2
50,8649,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,11,41,1
51,8557,1,0,12,7,0,3,1,1,0.32,0.303,0.57,0.2537,4,106,2
52,16189,4,1,11,6,1,1,0,1,0.38,0.3939,0.87,0.1045,7,64,1
53,225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,1
54,12999,3,1,6,19,0,6,0,1,0.84,0.7576,0.44,0.2537,134,240,4
55,11207,2,1,4,3,0,2,1,1,0.56,0.5303,0.83,0.0896,0,6,0
56,455,1,0,1,23,0,4,1,2,0.24,0.2121,0.65,0.3284,3,28,1
57,7034,4,0,10,16,0,2,1,1,0.56,0.5303,0.37,0.194,52,233,3
58,2717,2,0,4,2,0,4,1,2,0.62,0.5758,0.83,0.4478,14,7,0
59,3422,2,0,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284,40,126,2
60,1941,2,0,3,15,0,6,0,1,0.34,0.3333,0.29,0.194,110,109,3
61,3315,2,0,5,0,0,1,1,2,0.56,0.5303,0.88,0.1343,23,18,1
62,15875,4,1,10,15,0,0,0,2,0.5,0.4848,0.63,0.4925,76,225,3
63,8130,4,0,12,9,0,6,0,1,0.28,0.2576,0.61,0.2836,15,134,2
64,1575,1,0,3,1,0,5,1,3,0.34,0.3485,1,0.1045,0,8,0
65,6871,4,0,10,20,0,2,1,1,0.54,0.5152,0.64,0.1642,23,204,3
66,10624,2,1,3,18,0,5,1,1,0.7,0.6364,0.45,0.1642,237,593,4
67,8924,1,1,1,16,0,4,1,1,0.46,0.4545,0.67,0.194,33,248,3
68,12540,2,1,6,16,0,1,1,2,0.8,0.7121,0.41,0.4179,87,340,4
69,3336,2,0,5,21,0,1,1,1,0.64,0.5758,0.89,0.2239,33,155,2
70,16903,4,1,12,1,0,3,1,1,0.28,0.2727,0.61,0.2239,3,18,0
71,5402,3,0,8,23,0,3,1,1,0.7,0.6515,0.65,0.2836,20,85,2
72,9648,1,1,2,22,0,6,0,2,0.14,0.1061,0.39,0.3881,0,46,1
73,2648,2,0,4,5,0,1,1,2,0.46,0.4545,1,0,3,14,0
74,5498,3,0,8,23,0,0,0,1,0.7,0.6667,0.74,0.1642,20,48,1
75,6109,3,0,9,2,0,6,0,1,0.46,0.4545,0.82,0.0896,18,61,1
76,5149,3,0,8,10,0,0,0,1,0.8,0.803,0.66,0.1343,88,178,3
77,7996,4,0,12,19,0,0,0,1,0.38,0.3939,0.76,0,15,158,2
78,6194,3,0,9,15,0,2,1,2,0.62,0.5909,0.78,0.1045,34,158,3
79,9821,1,1,2,3,0,0,0,2,0.3,0.2879,0.36,0.2239,3,12,0
80,13607,3,1,7,3,0,4,1,1,0.66,0.6212,0.69,0.2239,0,8,0
81,6318,4,0,9,19,0,0,0,1,0.64,0.5758,0.83,0.1343,87,242,4
82,13673,3,1,7,21,0,6,0,1,0.66,0.6061,0.78,0.0896,94,206,3
83,13925,3,1,8,9,0,3,1,2,0.76,0.7273,0.66,0,33,308,4
84,200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,1
85,5249,3,0,8,14,0,4,1,1,0.8,0.697,0.29,0,39,103,2
86,5331,3,0,8,0,0,1,1,3,0.6,0.5455,0.88,0.0896,7,18,0
87,614,1,0,1,19,0,5,1,2,0.24,0.2424,0.75,0.1343,5,84,1
88,11562,2,1,5,22,0,2,1,1,0.64,0.6061,0.65,0,21,190,3
89,6843,4,0,10,16,0,1,1,1,0.58,0.5455,0.56,0.2537,64,238,3
90,5364,3,0,8,9,0,2,1,1,0.68,0.6364,0.61,0.2836,27,171,3
91,8881,1,1,1,21,0,2,1,1,0.32,0.3333,0.66,0.0896,7,109,2
92,2818,2,0,5,7,0,1,1,2,0.46,0.4545,0.82,0.3284,16,193,3
93,14939,3,1,9,15,0,3,1,1,0.62,0.6212,0.35,0,57,254,3
94,11213,2,1,4,9,0,2,1,1,0.6,0.6212,0.38,0.4925,71,329,4
95,1964,2,0,3,15,0,0,0,1,0.32,0.303,0.36,0.2836,61,111,2
96,669,1,0,1,4,0,1,1,1,0.2,0.197,0.59,0.2239,0,2,0
97,5874,3,0,9,5,0,3,1,2,0.56,0.5303,1,0.1343,1,15,0
98,7528,4,0,11,6,0,2,1,2,0.56,0.5303,0.64,0.0896,4,104,2
99,10769,2,1,3,19,0,4,1,1,0.48,0.4697,0.39,0.2836,47,421,4
100,3690,2,0,6,15,0,2,1,2,0.82,0.7424,0.41,0.3284,56,127,2
101,3015,2,0,5,12,0,2,1,2,0.6,0.6212,0.38,0,47,170,3
102,535,1,0,1,10,0,1,1,1,0.1,0.1364,0.42,0,6,34,1
103,2092,2,0,4,0,0,6,0,2,0.3,0.3333,0.61,0,3,29,1
104,2120,2,0,4,4,0,0,0,1,0.28,0.303,0.7,0.0896,3,0,0
105,14633,3,1,9,21,0,4,1,1,0.64,0.5758,0.89,0.1642,32,240,3
106,14601,3,1,9,13,0,3,1,1,0.8,0.7879,0.63,0.1642,50,184,3
107,353,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,0,1,0
108,1813,2,0,3,6,0,1,1,3,0.32,0.303,0.76,0.2537,2,30,1
109,5977,3,0,9,13,0,0,0,1,0.74,0.6818,0.58,0.1045,119,231,4
110,10666,2,1,3,12,0,0,0,2,0.4,0.4091,0.94,0.2239,122,238,4
111,11651,2,1,5,15,0,6,0,3,0.66,0.6212,0.74,0.194,241,300,4
112,9707,1,1,2,9,0,2,1,2,0.26,0.2879,0.56,0.0896,6,256,3
113,13759,3,1,8,11,0,3,1,1,0.76,0.7121,0.58,0.0896,54,180,3
114,16046,4,1,11,6,0,2,1,1,0.22,0.2273,0.69,0.1343,6,143,2
115,13644,3,1,7,16,0,5,1,1,0.84,0.7727,0.47,0.2239,80,419,4
116,15852,4,1,10,16,0,6,0,2,0.56,0.5303,0.64,0.2836,257,355,4
117,13035,3,1,7,7,0,1,1,1,0.74,0.6667,0.51,0.1045,8,390,4
118,5601,3,0,8,6,0,5,1,1,0.62,0.5606,0.88,0,5,100,2
119,10798,2,1,3,0,0,6,0,1,0.38,0.3939,0.82,0.194,12,80,1
120,1865,2,0,3,11,0,3,1,2,0.34,0.3333,0.87,0.194,18,53,1
121,12271,2,1,5,11,0,4,1,1,0.72,0.6515,0.37,0.2836,65,153,3
122,1573,1,0,3,23,0,4,1,3,0.34,0.3485,0,0.0896,1,26,0
123,11127,2,1,4,19,0,5,1,1,0.54,0.5152,0.24,0.1642,75,352,4
124,8986,1,1,1,6,0,0,0,2,0.14,0.1212,0.5,0.2836,1,7,0
125,15358,4,1,10,2,0,0,0,1,0.42,0.4242,0.62,0.1343,10,64,1
126,7806,4,0,11,20,0,6,0,2,0.42,0.4242,0.58,0,55,86,2
127,3531,2,0,6,0,0,3,1,1,0.7,0.6667,0.79,0.1642,9,25,1
128,8279,4,0,12,14,0,5,1,2,0.34,0.3182,0.42,0.2239,13,115,2
129,17329,1,1,12,21,0,6,0,2,0.28,0.2424,0.56,0.4925,4,56,1
130,8908,1,1,1,0,0,4,1,3,0.34,0.3333,0.93,0.194,0,3,0
131,15259,4,1,10,23,0,2,1,2,0.62,0.5455,0.94,0,11,87,1
132,13907,3,1,8,15,0,2,1,1,0.8,0.7424,0.52,0,100,206,3
133,3605,2,0,6,2,0,6,0,1,0.54,0.5152,0.56,0.194,18,41,1
134,8009,4,0,12,8,0,1,1,1,0.32,0.3485,0.93,0,12,392,4
135,9800,1,1,2,6,0,6,0,1,0.24,0.2879,0.7,0,1,8,0
136,5099,3,0,8,8,0,5,1,1,0.7,0.6515,0.65,0.2239,39,415,4
137,5585,3,0,8,14,0,4,1,2,0.72,0.697,0.74,0,27,86,2
138,1871,2,0,3,17,0,3,1,2,0.4,0.4091,0.76,0.2239,28,245,3
139,10561,2,1,3,3,0,3,1,2,0.5,0.4848,0.88,0.194,1,7,0
140,1570,1,0,3,20,0,4,1,3,0.36,0.3333,0,0.3284,9,29,1
141,8364,4,0,12,3,0,2,1,2,0.34,0.3636,0.61,0,1,1,0
142,3452,2,0,5,17,0,6,0,1,0.74,0.6818,0.55,0.2985,180,161,4
143,8656,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,18,52,1
144,9767,1,1,2,21,0,4,1,2,0.34,0.3485,0.81,0.1045,3,142,2
145,11179,2,1,4,23,0,0,0,1,0.66,0.6212,0.5,0.3881,25,65,1
146,602,1,0,1,7,0,5,1,2,0.16,0.197,0.86,0.0896,2,58,1
147,3033,2,0,5,6,0,3,1,1,0.46,0.4545,0.82,0.1343,6,93,2
148,4583,3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,81,267,4
149,13927,3,1,8,11,0,3,1,2,0.8,0.7424,0.52,0,80,159,3
150,5725,3,0,8,23,0,3,1,1,0.6,0.5758,0.78,0.1045,24,60,1
151,5326,3,0,8,19,0,0,0,1,0.72,0.697,0.74,0.2239,75,184,3
152,8432,1,0,12,23,0,4,1,3,0.4,0.4091,0.87,0,1,10,0
153,17217,1,1,12,5,1,2,0,2,0.22,0.2273,0.93,0.1343,2,1,0
154,11615,2,1,5,3,0,5,1,1,0.56,0.5303,0.88,0.2239,0,14,0
155,13937,3,1,8,21,0,3,1,1,0.74,0.697,0.66,0.1045,70,311,4
156,759,1,0,2,0,0,5,1,2,0.2,0.2576,0.44,0,3,10,0
157,13816,3,1,8,20,0,5,1,2,0.78,0.7576,0.66,0.2239,89,300,4
158,1321,1,0,2,7,0,1,1,2,0.36,0.3636,0.93,0.1045,2,90,1
159,14464,3,1,8,20,0,4,1,1,0.74,0.6818,0.58,0.1642,68,403,4
160,10653,2,1,3,23,0,6,0,2,0.44,0.4394,0.94,0.2836,17,88,2
161,14550,3,1,9,10,1,1,0,2,0.74,0.7121,0.74,0.2239,135,224,4
162,15935,4,1,11,15,0,4,1,2,0.4,0.4091,0.54,0.1642,35,179,3
163,7549,4,0,11,3,0,3,1,2,0.46,0.4545,0.94,0.1045,2,3,0
164,4154,3,0,6,23,0,0,0,1,0.7,0.6515,0.54,0.0896,14,64,1
165,17152,1,1,12,10,0,6,0,1,0.26,0.2273,0.48,0.3284,13,105,2
166,9827,1,1,2,9,0,0,0,2,0.24,0.2273,0.56,0.2537,20,73,1
167,17236,1,1,12,0,0,3,1,2,0.28,0.2727,0.65,0.2537,1,8,0
168,11262,2,1,4,10,0,4,1,1,0.48,0.4697,0.63,0.0896,46,143,2
169,6672,4,0,10,13,1,1,0,1,0.72,0.6515,0.37,0,146,219,4
170,13053,3,1,7,1,0,2,1,1,0.72,0.6667,0.58,0,5,9,0
171,7047,4,0,10,5,0,3,1,1,0.42,0.4242,0.71,0.2239,0,21,0
172,12426,2,1,6,22,0,3,1,1,0.52,0.5,0.77,0.0896,27,221,3
173,10756,2,1,3,6,0,4,1,1,0.46,0.4545,0.59,0.2537,3,114,2
174,15424,4,1,10,20,0,2,1,2,0.5,0.4848,0.72,0.1642,30,330,4
175,14617,3,1,9,5,0,4,1,2,0.7,0.6667,0.84,0.194,3,35,1
176,1052,1,0,2,13,0,3,1,1,0.42,0.4242,0.3,0.3582,13,80,1
177,13877,3,1,8,9,0,1,1,3,0.7,0.6667,0.79,0.1642,28,248,3
178,8938,1,1,1,6,0,5,1,2,0.26,0.2576,0.75,0.2239,2,71,1
179,11703,2,1,5,19,0,1,1,1,0.58,0.5455,0.56,0.3284,83,463,4
180,15883,4,1,10,23,0,0,0,3,0.42,0.4242,0.94,0.3582,2,12,0
181,51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,0
182,17175,1,1,12,9,0,0,0,1,0.2,0.2273,0.59,0.1045,7,49,1
183,8493,1,0,12,13,0,0,0,1,0.32,0.303,0.7,0.2537,40,39,1
184,13223,3,1,7,3,0,2,1,1,0.68,0.6364,0.79,0,0,3,0
185,8670,1,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,8,31,1
186,11891,2,1,5,15,0,2,1,2,0.7,0.6515,0.61,0.0896,51,205,3
187,10488,1,1,3,2,0,0,0,2,0.46,0.4545,0.82,0.1045,15,41,1
188,1356,1,0,3,18,0,2,1,1,0.32,0.3182,0.39,0.194,10,214,3
189,7787,4,0,11,1,0,6,0,1,0.32,0.3333,0.76,0.0896,5,24,1
190,5250,3,0,8,15,0,4,1,1,0.8,0.697,0.29,0.2985,52,126,2
191,2727,2,0,4,12,0,4,1,2,0.62,0.5909,0.78,0.2537,23,84,2
192,4278,3,0,7,3,0,6,0,1,0.64,0.6212,0.53,0,5,21,0
193,16013,4,1,11,21,0,0,0,1,0.3,0.2727,0.52,0.2985,16,71,1
194,15566,4,1,10,18,0,1,1,3,0.54,0.5152,0.77,0.1343,52,540,4
195,1986,2,0,3,14,0,1,1,1,0.32,0.303,0.22,0.2239,15,65,1
196,3765,2,0,6,18,0,5,1,1,0.8,0.7727,0.59,0.2239,96,367,4
197,549,1,0,1,0,0,2,1,2,0.16,0.1364,0.69,0.2836,3,6,0
198,9092,1,1,1,17,0,4,1,2,0.26,0.2273,0.44,0.3284,21,364,4
199,1664,1,0,3,21,0,1,1,1,0.34,0.3333,0.46,0.1343,5,58,1
200,3498,2,0,5,15,1,1,0,1,0.88,0.803,0.39,0.2537,132,179,3
201,9815,1,1,2,21,0,6,0,1,0.44,0.4394,0.33,0.2985,25,89,2
202,6633,4,0,10,22,0,6,0,1,0.5,0.4848,0.77,0,45,104,2
203,14277,3,1,8,1,0,4,1,1,0.62,0.5758,0.83,0,10,15,0
204,3240,2,0,5,21,0,4,1,1,0.54,0.5152,0.77,0.2836,29,180,3
205,904,1,0,2,4,0,4,1,2,0.14,0.1364,0.59,0.2239,0,1,0
206,3228,2,0,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,3
207,10951,2,1,4,10,0,5,1,1,0.36,0.3333,0.4,0.3284,81,157,3
208,4156,3,0,6,1,0,1,1,2,0.62,0.5909,0.78,0.1343,4,11,0
209,2662,2,0,4,19,0,1,1,1,0.66,0.6212,0.57,0.3284,62,320,4
210,3257,2,0,5,14,0,5,1,1,0.62,0.6212,0.53,0.2239,66,131,3
211,12244,2,1,5,8,0,3,1,2,0.6,0.5909,0.73,0.1642,29,642,4
212,11370,2,1,4,22,0,1,1,1,0.32,0.3182,0.76,0.194,18,71,1
213,2333,2,0,4,2,0,2,1,2,0.6,0.6212,0.53,0.1343,7,7,0
214,718,1,0,2,6,0,3,1,3,0.22,0.2424,0.93,0.1045,1,17,0
215,4361,3,0,7,14,0,2,1,1,0.8,0.7424,0.49,0.1642,66,112,2
216,13896,3,1,8,4,0,2,1,1,0.68,0.6364,0.83,0.1343,2,7,0
217,8012,4,0,12,11,0,1,1,2,0.36,0.3636,0.87,0.0896,17,106,2
218,7676,4,0,11,10,0,1,1,2,0.52,0.5,0.83,0,25,110,2
219,10788,2,1,3,14,0,5,1,3,0.4,0.4091,0.54,0,56,173,3
220,15212,4,1,10,0,0,1,1,1,0.46,0.4545,0.72,0.1045,6,39,1
221,713,1,0,2,1,0,3,1,3,0.22,0.2273,0.93,0.194,0,3,0
222,10233,1,1,3,10,0,3,1,1,0.36,0.3333,0.5,0.2985,20,127,2
223,1062,1,0,2,23,0,3,1,1,0.38,0.3939,0.4,0.2239,2,31,1
224,14106,3,1,8,22,0,3,1,1,0.7,0.6515,0.61,0.1642,29,197,3
225,10993,2,1,4,4,0,0,0,1,0.4,0.4091,0.4,0,0,7,0
226,7919,4,0,12,14,0,4,1,1,0.4,0.4091,0.4,0.2239,20,130,2
227,12898,3,1,6,14,0,2,1,1,0.7,0.6364,0.3,0.4627,81,186,3
228,7744,4,0,11,6,1,4,0,1,0.3,0.3182,0.61,0.0896,1,5,0
229,3609,2,0,6,6,0,6,0,1,0.54,0.5152,0.6,0,11,17,1
230,14115,3,1,8,7,0,4,1,1,0.64,0.6061,0.69,0.2239,16,448,4
231,9462,1,1,2,3,0,6,0,1,0.24,0.2879,0.75,0,1,17,0
232,9381,1,1,1,18,0,2,1,1,0.54,0.5152,0.24,0.3582,16,486,4
233,874,1,0,2,20,0,2,1,1,0.16,0.1364,0.4,0.3284,3,53,1
234,16861,4,1,12,7,0,1,1,2,0.38,0.3939,0.94,0.2537,3,291,3
235,1353,1,0,3,15,0,2,1,1,0.34,0.3636,0.34,0,7,57,1
236,3080,2,0,5,5,0,5,1,2,0.5,0.4848,0.88,0.194,1,24,0
237,15301,4,1,10,17,0,4,1,1,0.7,0.6515,0.51,0.2239,112,789,4
238,13575,3,1,7,19,0,2,1,1,0.76,0.7121,0.62,0.1642,109,523,4
239,1316,1,0,2,0,0,1,1,2,0.36,0.3636,0.66,0.1045,5,25,1
240,12254,2,1,5,18,0,3,1,1,0.74,0.6667,0.48,0.1642,50,746,4
241,4334,3,0,7,11,1,1,0,2,0.76,0.697,0.55,0.0896,177,172,4
242,11931,2,1,5,7,0,4,1,1,0.54,0.5152,0.73,0.3881,25,449,4
243,3352,2,0,5,13,0,2,1,1,0.78,0.697,0.46,0.2537,38,152,3
244,7922,4,0,12,17,0,4,1,1,0.36,0.3485,0.46,0.1343,9,409,4
245,2085,2,0,4,17,0,5,1,1,0.34,0.303,0.46,0.3284,36,245,3
246,2570,2,0,4,23,0,4,1,1,0.4,0.4091,0.43,0.1045,13,86,2
247,13094,3,1,7,18,1,3,0,1,0.9,0.8485,0.42,0.194,159,271,4
248,8711,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,10,214,3
249,192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,0
250,6985,4,0,10,15,0,0,0,1,0.52,0.5,0.52,0.1642,171,216,4
251,2387,2,0,4,8,0,4,1,1,0.42,0.4242,0.58,0.1642,21,316,4
252,9831,1,1,2,13,0,0,0,1,0.3,0.303,0.49,0.1642,64,197,3
253,14957,3,1,9,9,0,4,1,1,0.56,0.5303,0.6,0.0896,25,330,4
254,14898,3,1,9,22,0,1,1,3,0.62,0.5758,0.83,0.2537,20,109,2
255,10785,2,1,3,11,0,5,1,2,0.36,0.3788,0.53,0,48,153,3
256,10797,2,1,3,23,0,5,1,1,0.36,0.3788,0.71,0,16,107,2
257,10449,1,1,3,11,0,5,1,2,0.44,0.4394,0.77,0,40,167,3
258,2236,2,0,4,0,0,5,1,2,0.36,0.3485,0.76,0.2239,4,21,0
259,8155,4,0,12,10,0,0,0,1,0.24,0.2879,0.44,0,30,164,3
260,17200,1,1,12,11,0,1,1,2,0.26,0.2576,0.6,0.1642,20,104,2
261,305,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,0
262,11021,2,1,4,8,0,1,1,1,0.44,0.4394,0.3,0.194,22,595,4
263,8387,1,0,12,2,0,3,1,2,0.36,0.3788,0.71,0,0,4,0
264,3932,2,0,6,17,0,5,1,3,0.76,0.6818,0.4,0.194,85,467,4
265,1408,1,0,3,22,0,4,1,1,0.2,0.2576,0.4,0,3,50,1
266,4271,3,0,7,20,0,5,1,1,0.72,0.6515,0.42,0.2239,84,185,3
267,4855,3,0,7,4,0,2,1,1,0.68,0.6364,0.88,0.1642,0,6,0
268,11528,2,1,4,12,0,1,1,2,0.44,0.4394,0.47,0.1343,45,180,3
269,1599,1,0,3,2,0,6,0,1,0.24,0.2273,0.65,0.194,0,14,0
270,12573,2,1,6,1,0,3,1,1,0.64,0.5909,0.78,0,7,21,1
271,14050,3,1,8,14,0,1,1,1,0.8,0.697,0.33,0.1045,85,163,3
272,13591,3,1,7,11,0,3,1,1,0.76,0.6667,0.33,0,79,202,3
273,10155,1,1,3,4,0,0,0,2,0.34,0.3333,0.46,0.194,3,11,0
274,13483,3,1,7,23,0,5,1,2,0.62,0.5758,0.83,0.2836,18,148,2
275,8627,1,0,12,5,0,6,0,2,0.36,0.3485,0.76,0.2239,1,0,0
276,9412,1,1,2,1,0,4,1,2,0.46,0.4545,0.55,0,3,14,0
277,8732,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,9,81,1
278,10181,1,1,3,6,0,1,1,1,0.18,0.197,0.59,0.1343,2,89,1
279,16889,4,1,12,11,0,2,1,2,0.36,0.3333,0.53,0.3582,28,145,2
280,2265,2,0,4,5,0,6,0,2,0.3,0.2879,0.93,0.2239,0,5,0
281,2091,2,0,4,23,0,5,1,1,0.3,0.3182,0.61,0.0896,12,41,1
282,6693,4,0,10,10,0,2,1,2,0.6,0.5909,0.69,0.1343,38,111,2
283,7540,4,0,11,18,0,2,1,2,0.5,0.4848,0.72,0.2836,27,414,4
284,8563,1,0,12,13,0,3,1,1,0.34,0.2879,0.39,0.4627,24,135,2
285,14822,3,1,9,18,0,5,1,1,0.72,0.6515,0.45,0.2239,116,692,4
286,4614,3,0,7,3,0,6,0,1,0.6,0.5758,0.78,0.1343,6,20,0
287,8334,4,0,12,21,0,0,0,1,0.22,0.2727,0.64,0,9,80,1
288,8655,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,13,27,1
289,11604,2,1,5,16,0,4,1,1,0.68,0.6364,0.57,0.1642,45,325,4
290,3399,2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,3
291,13682,3,1,7,6,0,0,0,1,0.64,0.6061,0.73,0.1642,6,12,0
292,2106,2,0,4,14,0,6,0,3,0.32,0.303,0.76,0.3284,97,93,3
293,263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,1
294,2300,2,0,4,16,0,0,0,2,0.52,0.5,0.72,0.1642,135,153,3
295,2539,2,0,4,16,0,3,1,2,0.76,0.6667,0.35,0.3582,54,201,3
296,10791,2,1,3,17,0,5,1,2,0.4,0.4091,0.62,0.2239,93,513,4
297,1722,1,0,3,9,0,4,1,1,0.4,0.4091,0.62,0.2537,23,162,2
298,9595,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343,12,387,4
299,15329,4,1,10,21,0,5,1,1,0.6,0.5909,0.69,0.2239,47,220,3
300,14288,3,1,8,12,0,4,1,1,0.78,0.6818,0.38,0,97,235,4
301,9429,1,1,2,18,0,4,1,1,0.4,0.4091,0.43,0.4627,17,393,4
302,3360,2,0,5,21,0,2,1,1,0.64,0.5909,0.78,0.0896,21,168,2
303,7778,4,0,11,16,0,5,1,1,0.5,0.4848,0.39,0.1642,122,139,3
304,5789,3,0,9,15,0,6,0,1,0.72,0.6818,0.7,0.1642,187,201,4
305,8877,1,1,1,17,0,2,1,1,0.42,0.4242,0.38,0.2537,14,446,4
306,7550,4,0,11,4,0,3,1,2,0.44,0.4394,1,0.2239,1,3,0
307,8029,4,0,12,4,0,2,1,3,0.46,0.4545,0.88,0.2239,0,7,0
308,4127,3,0,6,20,0,6,0,1,0.7,0.6515,0.48,0.194,74,195,3
309,9797,1,1,2,3,0,6,0,1,0.28,0.2879,0.65,0.1045,3,15,0
310,13459,3,1,7,23,0,4,1,3,0.66,0.5909,0.89,0.2239,3,62,1
311,76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,1
312,8600,1,0,12,2,0,5,1,1,0.24,0.2576,0.7,0.1045,2,10,0
313,15625,4,1,10,5,0,4,1,1,0.44,0.4394,0.82,0.2239,1,41,1
